Time, Latitude, Longitude
1425, 			36.23004lon=-116.76715, 			lat=36.23004-116.76715
1430, 			36.23007lon=-116.767204, 			lat=36.23007-116.767204
1435, 			36.230103lon=-116.76715, 			lat=36.230103-116.76715
1440, 			36.230003lon=-116.76722, 			lat=36.230003-116.76722
1445, 			36.229984lon=-116.7672, 			lat=36.229984-116.7672
1450, 			36.230034lon=-116.76717, 			lat=36.230034-116.76717
1455, 			36.230038lon=-116.76723, 			lat=36.230038-116.76723
1460, 			36.230007lon=-116.76717, 			lat=36.230007-116.76717
1465, 			36.230083lon=-116.76712, 			lat=36.230083-116.76712
1470, 			36.23006lon=-116.76707, 			lat=36.23006-116.76707
1475, 			36.230133lon=-116.76711, 			lat=36.230133-116.76711
1480, 			36.22993lon=-116.76698, 			lat=36.22993-116.76698
1485, 			36.230072lon=-116.767075, 			lat=36.230072-116.767075
1490, 			36.23016lon=-116.76717, 			lat=36.23016-116.76717
1495, 			36.230103lon=-116.7672, 			lat=36.230103-116.7672
1500, 			36.22998lon=-116.76705, 			lat=36.22998-116.76705
1505, 			36.2301lon=-116.76716, 			lat=36.2301-116.76716
1510, 			36.230087lon=-116.76709, 			lat=36.230087-116.76709
1515, 			36.230103lon=-116.76717, 			lat=36.230103-116.76717
1520, 			36.230103lon=-116.76713, 			lat=36.230103-116.76713
1525, 			36.230083lon=-116.767166, 			lat=36.230083-116.767166
1530, 			36.230114lon=-116.76709, 			lat=36.230114-116.76709
1535, 			36.23011lon=-116.76711, 			lat=36.23011-116.76711
1540, 			36.230022lon=-116.76738, 			lat=36.230022-116.76738
1545, 			36.23015lon=-116.76695, 			lat=36.23015-116.76695
1550, 			36.230053lon=-116.76722, 			lat=36.230053-116.76722
1555, 			36.22998lon=-116.7672, 			lat=36.22998-116.7672
1560, 			36.23002lon=-116.76717, 			lat=36.23002-116.76717
1565, 			36.23006lon=-116.767235, 			lat=36.23006-116.767235
1570, 			36.230034lon=-116.76725, 			lat=36.230034-116.76725
1575, 			36.230057lon=-116.76722, 			lat=36.230057-116.76722
1580, 			36.230007lon=-116.76721, 			lat=36.230007-116.76721
1585, 			36.230045lon=-116.76721, 			lat=36.230045-116.76721
1590, 			36.229942lon=-116.7672, 			lat=36.229942-116.7672
1595, 			36.23008lon=-116.767204, 			lat=36.23008-116.767204
1600, 			36.23003lon=-116.76703, 			lat=36.23003-116.76703
1605, 			36.230167lon=-116.7673, 			lat=36.230167-116.7673
1610, 			36.23006lon=-116.76718, 			lat=36.23006-116.76718
1615, 			36.230133lon=-116.76721, 			lat=36.230133-116.76721
1620, 			36.230007lon=-116.76709, 			lat=36.230007-116.76709
1625, 			36.230038lon=-116.76723, 			lat=36.230038-116.76723
1630, 			36.23012lon=-116.76729, 			lat=36.23012-116.76729
1635, 			36.22998lon=-116.76701, 			lat=36.22998-116.76701
1640, 			36.229935lon=-116.76708, 			lat=36.229935-116.76708
1645, 			36.23001lon=-116.76714, 			lat=36.23001-116.76714
1650, 			36.230053lon=-116.76708, 			lat=36.230053-116.76708
1655, 			36.22995lon=-116.767105, 			lat=36.22995-116.767105
1660, 			36.230263lon=-116.76726, 			lat=36.230263-116.76726
